what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1771901495585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901499288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901502926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901505023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901508313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1771901508329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901518214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901568802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1771901568818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1771901568818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901576024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901577452
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1771901577720
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1771901579396
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1771901579635
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1771901584712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901604144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901604217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901607042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901628439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901629952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901667715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771901671165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902549554
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1771902551548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902551720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902558484
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771902558537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1771902563739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1771902564944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1771902566002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1771902567758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902569106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902574633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1771902574665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1771902575501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902577899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902580794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1771902581537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902582270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902583973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1771902583988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902585011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902594592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1771902594683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902597009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902598014
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771902598126
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771902598126
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1771902599626
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771902599815
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771902599880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771902612769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771923700318
