what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394767264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394769133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394772693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394774840
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769394775846
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769394775894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394782487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394795345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394796672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394803775
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769394805924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394813091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394827415
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769394828395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394832114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394833277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1769394861910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1769394863352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1769394867235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1769394870596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394873575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394879113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394881564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394883182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394885375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769394888334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1769394895845
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1769394948948
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769394948969
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769394948969
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769394949009
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769394951859
