what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397875975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397879116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397890338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397891697
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1769397891952
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769397893318
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1769397893562
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1769397895354
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=1, --go, --accept-bad-sysid, /cygdrive/c/Users/DELL/Documents/advanced_embedded_systems/practical3_fresh/software/MPSoC_CPU1/MPSoC_CPU1.elf] return code: 2, no processors found",1769397897438
error,log,,,"Downloading ELF Process failed",1769397897438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397897454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397904747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397907491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397921323
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769397923382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397927805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397939725
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769397941218
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1769397941441
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769397941582
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1769397943220
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1769397944529
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769397946113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397952078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769448272841
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769448272873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769448273366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769448274320
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769448274688
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1769448276521
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1769448276521
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1769448276521
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1769448277054
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1769448277054
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1769448277055
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1769448277055
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1769448277055
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1769448277055
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1769448277086
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1769448277086
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1769448277086
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1769448277086
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1769448277123
