what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767580014682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767580014726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767580018638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767580024192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767580026279
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1767580027716
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767580031030
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767580031354
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767580044418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767580066536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767580084494
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767580091166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767580096751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767580098777
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1767580099258
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767580102426
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767580102752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767580107236
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767599916658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767599917020
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767599923448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767599926406
